RnkIMDNoEd,No_qual,Maori,Drive_priv,Bus,Masters_,AnyUni,Bike
5909,29.3,65.3,65.2,0.8,0.7,24.3,0.4
4190,22.9,28.9,66,0.5,2.6,34.9,1.2
5345,22.3,34.2,60.8,0,2.9,35.3,2.3
5618,22.8,30.5,59.9,0.4,3,34.5,1.3
5134,22.3,34.2,60.8,0,2.9,35.3,2.3
5321,25.2,45.6,64.1,0.3,1.7,32.8,1.3
5220,22.9,28.9,66,0.5,2.6,34.9,1.2
1106,18.5,21.8,59.1,0,2.8,38.2,0.6
4521,21.5,29.9,51.3,1.9,3.8,37.6,1.9
5910,25.2,45.6,64.1,0.3,1.7,32.8,1.3
4503,26.2,30.4,59.8,0.8,2.3,32.9,1.7
6138,35.1,78.7,68.3,1.9,0.2,19.4,0.5
5385,22.8,30.5,59.9,0.4,3,34.5,1.3
4264,26.2,30.4,59.8,0.8,2.3,32.9,1.7
4602,22.8,30.5,59.9,0.4,3,34.5,1.3
5036,21.7,26.5,57.9,0,0,34.8,0
5305,32,46.9,66.9,2.5,0.7,25.6,0.6
5328,26.2,30.4,59.8,0.8,2.3,32.9,1.7
4695,26.5,41.6,69.7,1.8,0.8,27.6,0.7
4643,26.2,30.4,59.8,0.8,2.3,32.9,1.7
4540,26.5,41.6,69.7,1.8,0.8,27.6,0.7
6021,32,46.9,66.9,2.5,0.7,25.6,0.6
4652,26.5,41.6,69.7,1.8,0.8,27.6,0.7
5846,26.5,41.6,69.7,1.8,0.8,27.6,0.7
2096,26.5,41.6,69.7,1.8,0.8,27.6,0.7
3778,15.9,31.8,61.6,0.5,3.2,38.7,2.6
2301,23.1,39.9,54.7,0.3,2.3,31.6,0
3192,15.9,31.8,61.6,0.5,3.2,38.7,2.6
2467,13.8,19,59.9,0,3.2,42,0.4
5218,21.3,36.6,67.7,2.1,3.5,36.7,1.3
3834,23.2,34.9,70.2,2.2,1.5,31.6,1.1
625,15.8,27.5,63.2,0.5,2.1,42.7,0
5022,23.2,34.9,70.2,2.2,1.5,31.6,1.1
2094,21.3,36.6,67.7,2.1,3.5,36.7,1.3
4823,23.2,34.9,70.2,2.2,1.5,31.6,1.1
5584,21.3,36.6,67.7,2.1,3.5,36.7,1.3
1807,18.8,21.4,67.2,0.8,3.2,36.4,0.8
3071,18.8,21.4,67.2,0.8,3.2,36.4,0.8
5367,23.1,39.9,54.7,0.3,2.3,31.6,0
3316,20.4,23.9,56.4,0,2.6,34.6,0.3
4108,20.4,23.9,56.4,0,2.6,34.6,0.3
1860,20.4,23.9,56.4,0,2.6,34.6,0.3
2695,15.7,19.3,60.1,0,3.1,38.6,0
1567,15.6,17,63.2,0,6,44.2,0.3
3307,15.6,17,63.2,0,6,44.2,0.3
2463,20.5,16.7,53.8,0.5,3.6,36.6,1.4
4908,25.9,37.2,69,0.3,1.7,28.3,0.5
4091,15.8,27.5,63.2,0.5,2.1,42.7,0
3766,25.9,37.2,69,0.3,1.7,28.3,0.5
1608,21.1,22.7,63.4,0,2.8,35.9,0.6
747,15.6,17,63.2,0,6,44.2,0.3
3863,23.1,39.9,54.7,0.3,2.3,31.6,0
1520,20.5,16.7,53.8,0.5,3.6,36.6,1.4
1878,18,22.9,67.4,0,4.6,42.3,0.5
1156,13.4,16.2,61.2,0,5.4,44.5,0
2397,15.7,19.3,60.1,0,3.1,38.6,0
1810,12.3,19.7,55.8,0,8.6,46.5,0.7
2906,13.4,16.2,61.2,0,5.4,44.5,0
3530,20.4,23.9,56.4,0,2.6,34.6,0.3
2356,21.1,22.7,63.4,0,2.8,35.9,0.6
3877,32,46.9,66.9,2.5,0.7,25.6,0.6
4169,32,46.9,66.9,2.5,0.7,25.6,0.6
5490,24.9,46.1,68.6,1,1.6,29.6,0.5
5053,24.9,46.1,68.6,1,1.6,29.6,0.5
6174,35.1,78.7,68.3,1.9,0.2,19.4,0.5
6151,35.1,78.7,68.3,1.9,0.2,19.4,0.5
4077,15.9,31.8,61.6,0.5,3.2,38.7,2.6
5699,21.5,29.9,51.3,1.9,3.8,37.6,1.9
5481,25.9,37.2,69,0.3,1.7,28.3,0.5
5038,25.9,37.2,69,0.3,1.7,28.3,0.5
4822,29.2,34.6,48.6,0,1.5,26,0.2
3871,29.2,34.6,48.6,0,1.5,26,0.2
3525,29.2,34.6,48.6,0,1.5,26,0.2
4707,32.7,38.9,59.1,0,0.8,21.9,1.1
5290,32.7,38.9,59.1,0,0.8,21.9,1.1
4144,32.7,38.9,59.1,0,0.8,21.9,1.1
5401,32.7,38.9,59.1,0,0.8,21.9,1.1
5224,32.7,38.9,59.1,0,0.8,21.9,1.1
5508,32.7,38.9,59.1,0,0.8,21.9,1.1
5753,29.2,34.6,48.6,0,1.5,26,0.2
2274,27.2,25.3,42.9,0,1.5,26.3,0
3015,27.2,25.3,42.9,0,1.5,26.3,0
3190,29.2,34.6,48.6,0,1.5,26,0.2
4099,32.2,29.8,45.7,0.3,1.3,24.3,0.5
4968,32.2,29.8,45.7,0.3,1.3,24.3,0.5
2880,32.2,29.8,45.7,0.3,1.3,24.3,0.5
5086,32.2,29.8,45.7,0.3,1.3,24.3,0.5
3589,24.3,18.9,50.8,0.4,1.9,26.7,0
2634,24.3,18.9,50.8,0.4,1.9,26.7,0
4224,24.3,26.7,59.2,0,1.3,23.3,0
3267,24,28.3,54.4,0.3,2.7,30.8,0
4944,24,28.3,54.4,0.3,2.7,30.8,0
2250,16.4,14.9,53.6,0.3,4.1,38.2,0
2536,16.4,14.9,53.6,0.3,4.1,38.2,0
3045,16.4,14.9,53.6,0.3,4.1,38.2,0
1894,20.9,14.1,57.6,0.3,2.5,35.6,0
2006,20.9,14.1,57.6,0.3,2.5,35.6,0
4485,24,28.3,54.4,0.3,2.7,30.8,0
2951,24,28.3,54.4,0.3,2.7,30.8,0
2888,20.9,14.1,57.6,0.3,2.5,35.6,0
4439,26.4,32.5,49.8,0,2.4,29.1,1.9
4663,27,22.2,61.3,0.4,3.9,32.6,1.2
3429,24.7,40,46.9,0,4.4,32.1,0.4
4587,27.3,20.2,57.1,0.7,3.5,30.6,2.6
4882,27.3,20.2,57.1,0.7,3.5,30.6,2.6
3111,27,22.2,61.3,0.4,3.9,32.6,1.2
5115,39.2,23.6,52.4,0,1.4,20.9,3.2
4549,39.2,23.6,52.4,0,1.4,20.9,3.2
4111,27.3,20.2,57.1,0.7,3.5,30.6,2.6
3671,24.7,40,46.9,0,4.4,32.1,0.4
4849,27.5,28.4,64.5,0.2,2.2,29.4,1.7
4221,27.5,28.4,64.5,0.2,2.2,29.4,1.7
5285,27.5,28.4,64.5,0.2,2.2,29.4,1.7
4570,24.7,40,46.9,0,4.4,32.1,0.4
3220,22.7,21.5,56.2,0,2.6,30.6,0.7
4925,27.5,28.4,64.5,0.2,2.2,29.4,1.7
3249,22.7,21.5,56.2,0,2.6,30.6,0.7
2491,29.2,21.8,55,0,1.5,27.3,0.9
2436,29.2,21.8,55,0,1.5,27.3,0.9
1735,19,14.9,49.8,0,3.5,37.2,0.7
3960,26.1,19,51.4,0.2,1.9,28.2,3.5
2763,26.1,19,51.4,0.2,1.9,28.2,3.5
3838,26.1,19,51.4,0.2,1.9,28.2,3.5
4500,26.1,19,51.4,0.2,1.9,28.2,3.5
1558,19,14.9,49.8,0,3.5,37.2,0.7
2044,16.7,13.2,39.7,0,2.2,38.4,0.4
3106,16.7,13.2,39.7,0,2.2,38.4,0.4
1715,24.6,30.4,39.5,0,1.6,32.7,0
3502,20.6,15.4,49.8,0.9,4.1,35.7,2.3
2578,26.9,18.8,51.9,0,1.6,29.3,3.2
3320,20.6,15.4,49.8,0.9,4.1,35.7,2.3
3448,26.9,18.8,51.9,0,1.6,29.3,3.2
1418,19.9,9.3,48.9,0,1.8,31,2.1
3373,26.9,18.8,51.9,0,1.6,29.3,3.2
4114,26.9,18.8,51.9,0,1.6,29.3,3.2
3030,26.9,18.8,51.9,0,1.6,29.3,3.2
3769,26.1,19,51.4,0.2,1.9,28.2,3.5
1263,16.8,16.3,51.4,0,3.3,36,3.1
3975,28.8,29.3,56.4,0.7,0.9,27.2,0.7
3994,26.2,21.3,42.7,0.5,0.3,27.5,0.9
4410,27.3,28.8,44.9,0,0.8,23.9,0.8
4097,26.2,21.3,42.7,0.5,0.3,27.5,0.9
3303,28.2,19.6,60.4,0.4,1.1,27.9,0.9
2733,28.2,19.6,60.4,0.4,1.1,27.9,0.9
3775,27.6,21.1,52,0,1.2,28,0.4
4857,27.3,28.8,44.9,0,0.8,23.9,0.8
3275,27.6,21.1,52,0,1.2,28,0.4
4298,29.1,25.5,48,0,1.1,26,0.6
5530,29.1,25.5,48,0,1.1,26,0.6
5428,29.1,25.5,48,0,1.1,26,0.6
5784,34.6,33.6,62.9,0.2,1.1,23.6,1.9
3621,34.6,33.6,62.9,0.2,1.1,23.6,1.9
4255,34.6,33.6,62.9,0.2,1.1,23.6,1.9
5576,34.6,33.6,62.9,0.2,1.1,23.6,1.9
5205,29.1,25.5,48,0,1.1,26,0.6
3374,23.8,19.8,50.7,0,1.9,29.8,0.8
4757,31.8,26.9,62.5,0,1.1,24.8,1.4
4879,33.6,28.1,64.4,0,1.5,24.5,1.3
5463,31.8,26.9,62.5,0,1.1,24.8,1.4
5836,33.6,28.1,64.4,0,1.5,24.5,1.3
3600,23.8,19.8,50.7,0,1.9,29.8,0.8
5566,29.9,24.5,66.7,0,1.1,23.3,2.5
5476,29.9,24.5,66.7,0,1.1,23.3,2.5
3510,23.8,19.8,50.7,0,1.9,29.8,0.8
3796,20.4,15.6,57.6,0.2,2.3,34,0.2
4934,31,42.5,56.2,0,2,29,0
2487,20.4,15.6,57.6,0.2,2.3,34,0.2
4113,15.2,23.7,53.6,0.4,6,42.7,0.6
4233,20.4,15.6,57.6,0.2,2.3,34,0.2
5467,19.8,24.7,57.1,0,2.8,35.5,0.3
5242,17,30,56.3,0.5,7.3,44.9,2.7
4539,17,30,56.3,0.5,7.3,44.9,2.7
4854,17,30,56.3,0.5,7.3,44.9,2.7
3928,17,30,56.3,0.5,7.3,44.9,2.7
2877,20.4,15.6,57.6,0.2,2.3,34,0.2
3076,15.2,23.7,53.6,0.4,6,42.7,0.6
3139,22.2,22.7,46,0.3,2.6,33,0.3
3360,19.8,24.7,57.1,0,2.8,35.5,0.3
2526,22.2,22.7,46,0.3,2.6,33,0.3
2046,16.6,17.3,53.4,0,2,34,0
5179,25.5,38.9,67.1,0.3,1.2,28.2,0.6
5553,25.5,38.9,67.1,0.3,1.2,28.2,0.6
5651,24.3,32,64.4,0.2,1.9,31,0
4217,16.6,17.3,53.4,0,2,34,0
3556,24.3,32,64.4,0.2,1.9,31,0
4123,15.2,23.7,53.6,0.4,6,42.7,0.6
4589,16.6,17.3,53.4,0,2,34,0
1212,20,18.2,56.7,0,2.7,36.3,0
2064,19.5,19.9,52.7,0,2.7,30.7,0
2627,19.5,19.9,52.7,0,2.7,30.7,0
2414,15.2,23.7,53.6,0.4,6,42.7,0.6
4832,27.6,32.5,53.4,0,0.9,26.5,0.2
2404,20,18.2,56.7,0,2.7,36.3,0
4347,22.2,22.7,46,0.3,2.6,33,0.3
6106,26.3,30.1,53.8,0,1.9,29.3,1
1171,24,28.6,53,0,1.9,28.1,0
2609,22.2,22.7,46,0.3,2.6,33,0.3
2507,17.7,23.8,63.9,0,3.5,41,0.2
5492,27.6,58,67.1,1.7,1.4,29.9,1.7
2583,24,28.6,53,0,1.9,28.1,0
1275,20.5,15.6,55.9,0,3,37.4,0.8
3814,27.6,32.5,53.4,0,0.9,26.5,0.2
6132,32.5,75.5,69,2,0.9,24.5,1.1
6157,32.5,75.5,69,2,0.9,24.5,1.1
5441,24.4,54.2,72.4,1.3,1.4,32.4,1
5776,27.6,32.5,53.4,0,0.9,26.5,0.2
4265,23.4,31.1,61.8,0.5,2.1,32,0.5
5848,27.6,32.5,53.4,0,0.9,26.5,0.2
6090,27.8,71,68.4,1.2,1.6,28.9,0.8
2782,24,28.6,53,0,1.9,28.1,0
5713,27.6,58,67.1,1.7,1.4,29.9,1.7
6013,27.8,71,68.4,1.2,1.6,28.9,0.8
5832,20.5,15.6,55.9,0,3,37.4,0.8
4472,17.7,23.8,63.9,0,3.5,41,0.2
5350,30.6,40.5,68.5,1.6,1.2,27.4,0.4
5312,30.6,40.5,68.5,1.6,1.2,27.4,0.4
1360,20.5,15.6,55.9,0,3,37.4,0.8
5400,27.6,32.5,53.4,0,0.9,26.5,0.2
5973,30.6,40.5,68.5,1.6,1.2,27.4,0.4
5601,30.6,40.5,68.5,1.6,1.2,27.4,0.4
1775,17.7,23.8,63.9,0,3.5,41,0.2
3196,16,21.4,58.8,0,4.2,37.8,0
3692,27.6,32.5,53.4,0,0.9,26.5,0.2
3326,23.4,31.1,61.8,0.5,2.1,32,0.5
3334,19,21.9,47.5,0,1.2,32.6,0
3460,20.5,15.6,55.9,0,3,37.4,0.8
5727,23.4,31.1,61.8,0.5,2.1,32,0.5
2211,14.6,16.8,58.8,0,3.9,40.1,0
1668,14.8,17.1,52.5,0,3.9,42.8,1
635,11.8,10.5,53,0,8.9,47.7,0.8
2881,23,16.7,44.6,0,1.3,32.7,0.6
3519,23,16.7,44.6,0,1.3,32.7,0.6
2589,20.6,18.9,42.2,0,1.5,32.1,0.5
3576,14.8,17.1,52.5,0,3.9,42.8,1
3322,14.8,17.1,52.5,0,3.9,42.8,1
3543,20.6,18.9,42.2,0,1.5,32.1,0.5
238,11.1,11.3,61.3,0.3,10.4,49.5,1.5
2553,14.6,13.7,56.6,0,5.5,43.6,0.7
58,11.1,11.3,61.3,0.3,10.4,49.5,1.5
1484,13,11.4,55.9,0,7.2,44.6,0.5
1088,14.6,14.9,59.5,0.3,5.2,44.8,1
285,13,11.4,55.9,0,7.2,44.6,0.5
2254,13.9,24.2,61.3,0.4,6.7,45.1,0.9
1319,13.9,24.2,61.3,0.4,6.7,45.1,0.9
3264,20.6,18.9,42.2,0,1.5,32.1,0.5
1685,13,11.4,55.9,0,7.2,44.6,0.5
1170,14.6,13.7,56.6,0,5.5,43.6,0.7
3813,13.9,24.2,61.3,0.4,6.7,45.1,0.9
2614,14.6,13.7,56.6,0,5.5,43.6,0.7
3735,20,18.2,56.7,0,2.7,36.3,0
3266,14.8,17.9,65.1,0,3.7,42.5,0.2
3346,14.8,17.9,65.1,0,3.7,42.5,0.2
5141,14.8,17.9,65.1,0,3.7,42.5,0.2
2828,11.1,11.3,61.3,0.3,10.4,49.5,1.5
3403,11.1,11.3,61.3,0.3,10.4,49.5,1.5
3755,26.6,25.8,60.9,0.4,1.8,30,0.4
4671,26.6,25.8,60.9,0.4,1.8,30,0.4
5451,27.6,58,67.1,1.7,1.4,29.9,1.7
5065,24.4,54.2,72.4,1.3,1.4,32.4,1
4623,24.3,32,64.4,0.2,1.9,31,0
5191,24.3,32,64.4,0.2,1.9,31,0
3450,26.3,30.1,53.8,0,1.9,29.3,1
4423,26.3,30.1,53.8,0,1.9,29.3,1
2622,25.5,16.4,46.9,0.3,1.9,29.4,0
2788,20.1,15.2,48.7,0,1.8,32.7,0.6
3916,25.5,16.4,46.9,0.3,1.9,29.4,0
3367,20.1,15.2,48.7,0,1.8,32.7,0.6
4419,31.5,28.8,73.4,0.2,1.1,24.2,1.7
3028,31.5,28.8,73.4,0.2,1.1,24.2,1.7
4145,31.5,28.8,73.4,0.2,1.1,24.2,1.7
3539,28.1,17.3,69.2,0.1,1.8,29.2,0.9
5689,31.5,28.8,73.4,0.2,1.1,24.2,1.7
3251,28.1,17.3,69.2,0.1,1.8,29.2,0.9
647,28.1,17.3,69.2,0.1,1.8,29.2,0.9
2936,28.1,17.3,69.2,0.1,1.8,29.2,0.9
370,28.1,17.3,69.2,0.1,1.8,29.2,0.9
3810,28.1,17.3,69.2,0.1,1.8,29.2,0.9
3952,23.9,19.6,40.9,0,1.2,28.5,0.7
3537,20.1,15.2,48.7,0,1.8,32.7,0.6
2780,23.9,19.6,40.9,0,1.2,28.5,0.7
2663,23.7,16.4,39.5,0,0.9,24.5,0.4
4960,27.9,16.4,45.5,0,1,25.1,0.5
2468,21.4,20.2,36.9,0,1.2,32.8,0.4
3616,23.7,16.4,39.5,0,0.9,24.5,0.4
3175,31.7,16.4,50,0,1,23.3,0
2465,31.2,16.1,69.6,0.3,1.3,25.5,1.3
3066,31.2,16.1,69.6,0.3,1.3,25.5,1.3
4497,32.1,26.1,70.4,0.3,1.6,23.6,1.7
4288,32.1,26.1,70.4,0.3,1.6,23.6,1.7
1165,21.5,13.3,40.8,0,1.7,31.1,0.4
5343,32.1,26.1,70.4,0.3,1.6,23.6,1.7
3079,27.9,16.4,45.5,0,1,25.1,0.5
696,28,39.3,51.6,0.4,1.4,28.5,0
4588,21.4,20.2,36.9,0,1.2,32.8,0.4
5676,28,39.3,51.6,0.4,1.4,28.5,0
3381,29.2,19.2,61.4,0.1,1,26,1.7
4033,29.2,19.2,61.4,0.1,1,26,1.7
4073,29.2,19.2,61.4,0.1,1,26,1.7
4924,32.2,18.8,61.8,0,1.3,24.8,2
4577,29.2,19.2,61.4,0.1,1,26,1.7
3067,32.2,18.8,61.8,0,1.3,24.8,2
4789,29.2,19.2,61.4,0.1,1,26,1.7
2026,29.2,19.2,61.4,0.1,1,26,1.7
3587,32.2,18.8,61.8,0,1.3,24.8,2
4517,31.7,16.4,50,0,1,23.3,0
3167,32.2,18.8,61.8,0,1.3,24.8,2
1812,21,16.7,43.8,0,1.5,27.9,0
3577,21,16.7,43.8,0,1.5,27.9,0
3160,20.2,23.6,42.2,0.6,1.5,34.3,0.6
4607,13.8,68.6,66.9,1.3,4.5,42,1.3
3104,17.2,17,68.5,2.2,3.5,39.1,0.7
4122,13.8,68.6,66.9,1.3,4.5,42,1.3
1348,17.2,17,68.5,2.2,3.5,39.1,0.7
4382,24,29.6,71.7,2.3,1.9,34.1,1.1
3633,24,29.6,71.7,2.3,1.9,34.1,1.1
5011,24,29.6,71.7,2.3,1.9,34.1,1.1
509,17.2,17,68.5,2.2,3.5,39.1,0.7
2650,17.2,17,68.5,2.2,3.5,39.1,0.7
6126,26.3,51.9,71.2,3.1,1.1,25,1.1
6085,26.3,51.9,71.2,3.1,1.1,25,1.1
4031,17.9,26.7,68.1,2.1,2.3,37.6,3.6
5489,27.4,41.7,70.5,4.6,1.5,28,1.6
4150,24,29.6,71.7,2.3,1.9,34.1,1.1
4913,24,29.6,71.7,2.3,1.9,34.1,1.1
3355,20.1,29.3,69.4,2.3,2.5,35.8,1.7
5496,26.3,51.9,71.2,3.1,1.1,25,1.1
3007,20.1,29.3,69.4,2.3,2.5,35.8,1.7
3885,21.7,33.5,69.3,2.5,2.8,32.9,1.7
2702,17.9,26.7,68.1,2.1,2.3,37.6,3.6
6130,26.3,51.9,71.2,3.1,1.1,25,1.1
6046,27.4,41.7,70.5,4.6,1.5,28,1.6
5080,17.9,26.7,68.1,2.1,2.3,37.6,3.6
5418,27.4,41.7,70.5,4.6,1.5,28,1.6
3073,21.7,33.5,69.3,2.5,2.8,32.9,1.7
250,10.3,13,65,1,7.1,48.1,1
3709,20.1,29.3,69.4,2.3,2.5,35.8,1.7
5659,27.4,41.7,70.5,4.6,1.5,28,1.6
2830,14.5,18.3,64.8,2.2,3.3,39.9,2
4425,20.1,29.3,69.4,2.3,2.5,35.8,1.7
3787,14.5,18.3,64.8,2.2,3.3,39.9,2
4616,21.7,33.5,69.3,2.5,2.8,32.9,1.7
5804,27.4,41.7,70.5,4.6,1.5,28,1.6
4218,21.7,33.5,69.3,2.5,2.8,32.9,1.7
4444,21.7,33.5,69.3,2.5,2.8,32.9,1.7
5100,27.4,41.7,70.5,4.6,1.5,28,1.6
4807,22.8,31.7,65.9,2.9,2,33.6,2.3
5661,22.2,41.1,66.9,3,2,33.2,2.8
2960,10.3,13,65,1,7.1,48.1,1
2222,14.5,18.3,64.8,2.2,3.3,39.9,2
5037,21.7,33.5,69.3,2.5,2.8,32.9,1.7
5260,22.8,31.7,65.9,2.9,2,33.6,2.3
5711,19,36,70.4,4.4,3.6,38.3,2.6
5406,19,24.7,69.2,1.2,2.9,38.6,2.2
5665,22.2,41.1,66.9,3,2,33.2,2.8
5779,21.7,33.5,69.3,2.5,2.8,32.9,1.7
3553,16.7,11.3,67.9,1.8,5.6,41.1,2.5
